scheme,compound,band,circuit_key,n,coverage,mean_width
raw,HARD,11-15,abu_dhabi_grand_prix,215,0.8930232558139535,5.181912422180176
raw,HARD,11-15,australian_grand_prix,184,0.8152173913043478,4.576257705688477
raw,HARD,11-15,austrian_grand_prix,189,0.7513227513227513,6.378471374511719
raw,HARD,11-15,azerbaijan_grand_prix,180,0.7722222222222223,4.67229700088501
raw,HARD,11-15,bahrain_grand_prix,176,0.7556818181818182,7.119967460632324
raw,HARD,11-15,belgian_grand_prix,68,0.8088235294117647,6.977924346923828
raw,HARD,11-15,canadian_grand_prix,111,0.8648648648648649,4.948950290679932
raw,HARD,11-15,chinese_grand_prix,63,0.9841269841269841,11.223100662231445
raw,HARD,11-15,dutch_grand_prix,90,0.7333333333333333,4.624752998352051
raw,HARD,11-15,emilia_romagna_grand_prix,88,0.8863636363636364,5.382675647735596
raw,HARD,11-15,hungarian_grand_prix,237,0.890295358649789,8.28703784942627
raw,HARD,11-15,italian_grand_prix,172,0.8313953488372093,6.210538864135742
raw,HARD,11-15,japanese_grand_prix,130,0.7769230769230769,8.157390594482422
raw,HARD,11-15,las_vegas_grand_prix,178,0.7359550561797753,7.747863292694092
raw,HARD,11-15,mexico_city_grand_prix,137,0.8540145985401459,7.93993616104126
raw,HARD,11-15,miami_grand_prix,137,0.7518248175182481,4.611956596374512
raw,HARD,11-15,monaco_grand_prix,127,0.7559055118110236,13.088372230529785
raw,HARD,11-15,qatar_grand_prix,71,0.8732394366197183,4.589963436126709
raw,HARD,11-15,saudi_arabian_grand_prix,109,0.5779816513761468,4.860692024230957
raw,HARD,11-15,singapore_grand_prix,147,0.8571428571428571,5.842490196228027
raw,HARD,11-15,spanish_grand_prix,139,0.8848920863309353,9.31857967376709
raw,HARD,11-15,united_states_grand_prix,128,0.8125,4.83318567276001
raw,HARD,16-20,abu_dhabi_grand_prix,152,0.881578947368421,7.251041412353516
raw,HARD,16-20,australian_grand_prix,146,0.815068493150685,5.516269207000732
raw,HARD,16-20,austrian_grand_prix,167,0.7065868263473054,8.394670486450195
raw,HARD,16-20,azerbaijan_grand_prix,171,0.8421052631578947,5.474996089935303
raw,HARD,16-20,bahrain_grand_prix,85,0.8588235294117647,6.799272537231445
raw,HARD,16-20,belgian_grand_prix,32,0.6875,6.034969329833984
raw,HARD,16-20,canadian_grand_prix,115,0.9130434782608695,6.236355781555176
raw,HARD,16-20,chinese_grand_prix,61,0.9344262295081968,7.584990501403809
raw,HARD,16-20,dutch_grand_prix,98,0.826530612244898,5.763530731201172
raw,HARD,16-20,emilia_romagna_grand_prix,79,0.9240506329113924,5.742896556854248
raw,HARD,16-20,hungarian_grand_prix,232,0.8275862068965517,9.165422439575195
raw,HARD,16-20,italian_grand_prix,113,0.8141592920353983,6.668066501617432
raw,HARD,16-20,japanese_grand_prix,59,0.864406779661017,9.129676818847656
raw,HARD,16-20,las_vegas_grand_prix,104,0.8173076923076923,8.186861038208008
raw,HARD,16-20,mexico_city_grand_prix,133,0.8646616541353384,6.883092880249023
raw,HARD,16-20,miami_grand_prix,122,0.7786885245901639,4.586348056793213
raw,HARD,16-20,monaco_grand_prix,98,0.673469387755102,12.298311233520508
raw,HARD,16-20,saudi_arabian_grand_prix,108,0.75,5.425017356872559
raw,HARD,16-20,singapore_grand_prix,97,0.7835051546391752,7.613461017608643
raw,HARD,16-20,spanish_grand_prix,109,0.9174311926605505,9.73078441619873
raw,HARD,16-20,united_states_grand_prix,85,0.7647058823529411,5.498077392578125
raw,HARD,2-5,abu_dhabi_grand_prix,105,0.9333333333333333,6.446475028991699
raw,HARD,2-5,australian_grand_prix,81,0.6049382716049383,7.036843299865723
raw,HARD,2-5,austrian_grand_prix,97,0.8762886597938144,6.217438220977783
raw,HARD,2-5,azerbaijan_grand_prix,69,0.8985507246376812,9.440916061401367
raw,HARD,2-5,bahrain_grand_prix,114,0.868421052631579,6.171945571899414
raw,HARD,2-5,belgian_grand_prix,43,0.8837209302325582,7.964383125305176
raw,HARD,2-5,dutch_grand_prix,38,0.7894736842105263,6.054571151733398
raw,HARD,2-5,emilia_romagna_grand_prix,35,0.9714285714285714,6.725454330444336
raw,HARD,2-5,hungarian_grand_prix,131,0.8854961832061069,7.002617835998535
raw,HARD,2-5,italian_grand_prix,115,0.9130434782608695,7.005982398986816
raw,HARD,2-5,japanese_grand_prix,89,0.9101123595505618,9.230975151062012
raw,HARD,2-5,las_vegas_grand_prix,105,0.6857142857142857,8.580845832824707
raw,HARD,2-5,mexico_city_grand_prix,60,0.9,8.876351356506348
raw,HARD,2-5,miami_grand_prix,54,0.8703703703703703,7.296737194061279
raw,HARD,2-5,monaco_grand_prix,57,0.9824561403508771,10.981830596923828
raw,HARD,2-5,qatar_grand_prix,52,0.7307692307692307,6.815951824188232
raw,HARD,2-5,saudi_arabian_grand_prix,50,0.9,11.894367218017578
raw,HARD,2-5,singapore_grand_prix,56,0.8928571428571429,8.082082748413086
raw,HARD,2-5,spanish_grand_prix,68,0.8382352941176471,8.646305084228516
raw,HARD,2-5,united_states_grand_prix,52,0.8846153846153846,5.661954402923584
raw,HARD,21-30,abu_dhabi_grand_prix,129,0.8837209302325582,6.809493064880371
raw,HARD,21-30,australian_grand_prix,177,0.807909604519774,5.525341033935547
raw,HARD,21-30,austrian_grand_prix,80,0.9,6.5810699462890625
raw,HARD,21-30,azerbaijan_grand_prix,321,0.735202492211838,6.700498104095459
raw,HARD,21-30,canadian_grand_prix,163,0.852760736196319,7.963884353637695
raw,HARD,21-30,chinese_grand_prix,98,0.9387755102040817,7.359370708465576
raw,HARD,21-30,dutch_grand_prix,172,0.75,9.011245727539062
raw,HARD,21-30,emilia_romagna_grand_prix,140,0.8285714285714286,7.7473931312561035
raw,HARD,21-30,hungarian_grand_prix,193,0.7253886010362695,6.851136207580566
raw,HARD,21-30,italian_grand_prix,125,0.84,7.426486492156982
raw,HARD,21-30,japanese_grand_prix,31,0.8064516129032258,11.009915351867676
raw,HARD,21-30,las_vegas_grand_prix,51,0.7254901960784313,7.52064323425293
raw,HARD,21-30,mexico_city_grand_prix,249,0.8795180722891566,6.5235795974731445
raw,HARD,21-30,miami_grand_prix,244,0.8032786885245902,4.229472637176514
raw,HARD,21-30,monaco_grand_prix,216,0.7962962962962963,9.560973167419434
raw,HARD,21-30,saudi_arabian_grand_prix,226,0.827433628318584,6.4705705642700195
raw,HARD,21-30,singapore_grand_prix,154,0.6168831168831169,7.0930633544921875
raw,HARD,21-30,spanish_grand_prix,83,0.8433734939759037,9.237997055053711
raw,HARD,21-30,united_states_grand_prix,89,0.797752808988764,4.658926486968994
raw,HARD,31-+,abu_dhabi_grand_prix,38,0.9210526315789473,6.8102874755859375
raw,HARD,31-+,australian_grand_prix,141,0.5460992907801419,7.747005462646484
raw,HARD,31-+,azerbaijan_grand_prix,163,0.656441717791411,5.987854957580566
raw,HARD,31-+,canadian_grand_prix,78,0.6666666666666666,6.142810344696045
raw,HARD,31-+,dutch_grand_prix,137,0.7956204379562044,6.495556831359863
raw,HARD,31-+,emilia_romagna_grand_prix,76,0.6842105263157895,6.765038967132568
raw,HARD,31-+,mexico_city_grand_prix,115,0.7478260869565218,7.383944034576416
raw,HARD,31-+,miami_grand_prix,128,0.71875,4.625672340393066
raw,HARD,31-+,monaco_grand_prix,507,0.6074950690335306,9.321929931640625
raw,HARD,31-+,saudi_arabian_grand_prix,107,0.9065420560747663,6.347999572753906
raw,HARD,31-+,singapore_grand_prix,82,0.8170731707317073,6.781439781188965
raw,HARD,6-10,abu_dhabi_grand_prix,237,0.8396624472573839,5.274377822875977
raw,HARD,6-10,australian_grand_prix,115,0.7565217391304347,4.886250019073486
raw,HARD,6-10,austrian_grand_prix,208,0.8846153846153846,5.372141361236572
raw,HARD,6-10,azerbaijan_grand_prix,174,0.8390804597701149,6.883815765380859
raw,HARD,6-10,bahrain_grand_prix,244,0.9590163934426229,5.821151256561279
raw,HARD,6-10,belgian_grand_prix,97,0.9587628865979382,11.321654319763184
raw,HARD,6-10,canadian_grand_prix,113,0.8761061946902655,7.775763511657715
raw,HARD,6-10,chinese_grand_prix,35,1.0,10.593929290771484
raw,HARD,6-10,dutch_grand_prix,94,0.7978723404255319,5.433474063873291
raw,HARD,6-10,emilia_romagna_grand_prix,84,0.9523809523809523,6.237163066864014
raw,HARD,6-10,hungarian_grand_prix,250,0.896,5.910758018493652
raw,HARD,6-10,italian_grand_prix,214,0.9252336448598131,5.543168544769287
raw,HARD,6-10,japanese_grand_prix,187,0.839572192513369,10.029926300048828
raw,HARD,6-10,las_vegas_grand_prix,235,0.8212765957446808,7.37000846862793
raw,HARD,6-10,mexico_city_grand_prix,144,0.8888888888888888,9.57754898071289
raw,HARD,6-10,miami_grand_prix,126,0.7777777777777778,6.053628444671631
raw,HARD,6-10,monaco_grand_prix,125,0.824,11.717080116271973
raw,HARD,6-10,qatar_grand_prix,133,0.7443609022556391,5.2700419425964355
raw,HARD,6-10,saudi_arabian_grand_prix,126,0.7301587301587301,6.762333393096924
raw,HARD,6-10,singapore_grand_prix,145,0.8620689655172413,6.5675272941589355
raw,HARD,6-10,spanish_grand_prix,158,0.740506329113924,11.288200378417969
raw,HARD,6-10,united_states_grand_prix,145,0.8551724137931035,5.751529693603516
raw,INTERMEDIATE,11-15,canadian_grand_prix,115,1.0,14.949838638305664
raw,INTERMEDIATE,11-15,monaco_grand_prix,72,0.9861111111111112,23.437664031982422
raw,INTERMEDIATE,16-20,canadian_grand_prix,57,1.0,17.37522315979004
raw,INTERMEDIATE,16-20,monaco_grand_prix,53,0.9811320754716981,16.489139556884766
raw,INTERMEDIATE,2-5,canadian_grand_prix,45,1.0,17.1121883392334
raw,INTERMEDIATE,2-5,são_paulo_grand_prix,30,0.9,13.048371315002441
raw,INTERMEDIATE,21-30,são_paulo_grand_prix,142,0.7394366197183099,10.067605018615723
raw,INTERMEDIATE,31-+,são_paulo_grand_prix,30,0.9333333333333333,8.084976196289062
raw,INTERMEDIATE,6-10,canadian_grand_prix,148,1.0,15.146364212036133
raw,INTERMEDIATE,6-10,monaco_grand_prix,68,0.9852941176470589,23.1162109375
raw,MEDIUM,11-15,abu_dhabi_grand_prix,49,0.7142857142857143,8.555868148803711
raw,MEDIUM,11-15,austrian_grand_prix,142,0.8098591549295775,4.9738006591796875
raw,MEDIUM,11-15,belgian_grand_prix,44,0.9318181818181818,14.13891315460205
raw,MEDIUM,11-15,british_grand_prix,131,0.7099236641221374,8.447893142700195
raw,MEDIUM,11-15,canadian_grand_prix,36,0.6666666666666666,4.902766704559326
raw,MEDIUM,11-15,dutch_grand_prix,101,0.6732673267326733,5.574324131011963
raw,MEDIUM,11-15,emilia_romagna_grand_prix,71,0.7183098591549296,5.396543502807617
raw,MEDIUM,11-15,hungarian_grand_prix,114,0.8596491228070176,5.388470649719238
raw,MEDIUM,11-15,italian_grand_prix,66,0.8787878787878788,7.826908111572266
raw,MEDIUM,11-15,japanese_grand_prix,42,0.8333333333333334,8.964670181274414
raw,MEDIUM,11-15,mexico_city_grand_prix,185,0.8324324324324325,5.175477981567383
raw,MEDIUM,11-15,miami_grand_prix,121,0.743801652892562,6.38283634185791
raw,MEDIUM,11-15,monaco_grand_prix,72,0.6388888888888888,5.760059833526611
raw,MEDIUM,11-15,qatar_grand_prix,92,0.8586956521739131,4.658740997314453
raw,MEDIUM,11-15,saudi_arabian_grand_prix,46,0.45652173913043476,5.358928680419922
raw,MEDIUM,11-15,singapore_grand_prix,162,0.8580246913580247,6.889700412750244
raw,MEDIUM,11-15,spanish_grand_prix,136,0.7573529411764706,8.57011604309082
raw,MEDIUM,11-15,são_paulo_grand_prix,65,0.9538461538461539,5.962471961975098
raw,MEDIUM,11-15,united_states_grand_prix,128,0.84375,4.780540466308594
raw,MEDIUM,16-20,abu_dhabi_grand_prix,32,0.71875,7.040309429168701
raw,MEDIUM,16-20,austrian_grand_prix,71,0.7887323943661971,6.58396053314209
raw,MEDIUM,16-20,british_grand_prix,123,0.1951219512195122,11.532151222229004
raw,MEDIUM,16-20,canadian_grand_prix,61,0.819672131147541,6.63079833984375
raw,MEDIUM,16-20,dutch_grand_prix,90,0.6888888888888889,8.828774452209473
raw,MEDIUM,16-20,emilia_romagna_grand_prix,52,0.9038461538461539,6.78544807434082
raw,MEDIUM,16-20,hungarian_grand_prix,63,0.7301587301587301,7.98435115814209
raw,MEDIUM,16-20,mexico_city_grand_prix,155,0.9225806451612903,5.309893608093262
raw,MEDIUM,16-20,miami_grand_prix,62,0.7419354838709677,6.00733757019043
raw,MEDIUM,16-20,monaco_grand_prix,42,0.47619047619047616,9.23994255065918
raw,MEDIUM,16-20,qatar_grand_prix,73,0.9452054794520548,4.025066375732422
raw,MEDIUM,16-20,saudi_arabian_grand_prix,37,0.5945945945945946,5.5797529220581055
raw,MEDIUM,16-20,singapore_grand_prix,81,0.8518518518518519,6.219055652618408
raw,MEDIUM,16-20,spanish_grand_prix,92,0.967391304347826,8.472992897033691
raw,MEDIUM,16-20,são_paulo_grand_prix,45,0.7777777777777778,8.700260162353516
raw,MEDIUM,16-20,united_states_grand_prix,60,0.9166666666666666,5.2920966148376465
raw,MEDIUM,2-5,abu_dhabi_grand_prix,56,0.9107142857142857,9.741449356079102
raw,MEDIUM,2-5,austrian_grand_prix,125,0.872,7.960987091064453
raw,MEDIUM,2-5,azerbaijan_grand_prix,51,0.7843137254901961,6.72408390045166
