calib_share,calib_races,mean_calib_races_per_circuit,scheme,per_circuit_rmse_dev_pts,per_circuit_spread_pts,marginal_coverage,mean_width
0.25,22,0.7586206896551724,raw,5.610476654860807,27.970091124615465,0.7914180409004347,7.336447613239288
0.25,22,0.7586206896551724,pooled,5.812475184888747,27.37463985203794,0.7976101830064295,7.439110488891601
0.25,22,0.7586206896551724,mondrian,8.05664909905696,38.22011969768757,0.7910265152521676,7.515315830834042
0.25,22,0.7586206896551724,mondrian_shrunk,6.50110086654273,30.68871986696797,0.7967404570846475,7.49408369253248
0.4,36,1.2413793103448276,raw,6.14189913231911,29.4585563123263,0.7915593440582418,7.344614129066468
0.4,36,1.2413793103448276,pooled,6.308983348633969,28.916058829357517,0.7987618620764962,7.460668890476227
0.4,36,1.2413793103448276,mondrian,8.798937664388802,40.56672124925928,0.7916522805279425,7.60046335744064
0.4,36,1.2413793103448276,mondrian_shrunk,6.729550132091268,30.92984433193268,0.7984126657822905,7.516566820756165
0.5,44,1.5172413793103448,raw,6.315557442818131,29.563824132614027,0.7915490046892458,7.347587094306946
0.5,44,1.5172413793103448,pooled,6.418519636836337,29.110020562260523,0.7990557265956465,7.4652407932281495
0.5,44,1.5172413793103448,mondrian,8.883872054072556,39.89919106820841,0.7912472139309594,7.61283678189918
0.5,44,1.5172413793103448,mondrian_shrunk,6.8536844263311005,31.028445149285652,0.7986754819310401,7.523372546683687
0.65,58,2.0,raw,6.7481019183827335,29.033768196293057,0.7936747389390445,7.311714489459991
0.65,58,2.0,pooled,6.845597579986388,28.488506792517782,0.8025583980750335,7.449066994190216
0.65,58,2.0,mondrian,9.179312915032273,38.70121092873947,0.7947908509748614,7.6277417416438755
0.65,58,2.0,mondrian_shrunk,7.16692384382357,30.091661811129015,0.8026084768728241,7.506605925664029
0.8,71,2.4482758620689653,raw,7.061794278621928,25.84342141812772,0.7940307291954628,7.383450930118561
0.8,71,2.4482758620689653,pooled,7.16856994191193,25.475646647706913,0.8022758571193335,7.512046508789062
0.8,71,2.4482758620689653,mondrian,8.886686128032288,32.438543312842846,0.7963936700046041,7.655632848678606
0.8,71,2.4482758620689653,mondrian_shrunk,7.303599232480779,26.13461471263402,0.8028196296342758,7.544125305634225
