,2018,2019,2020,2021,2022,2023,2024,2025
n,14955.0,17503.0,13682.0,18406.0,16732.0,18510.0,19994.0,20165.0
lap_number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lap_in_stint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
age_in_stint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fuel_mass_kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
compound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
compound_grip_peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06987354326803868
compound_wear_gradient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06987354326803868
compound_optimal_temp_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06987354326803868
compound_optimal_temp_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06987354326803868
compound_cliff_onset_laps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06987354326803868
compound_cliff_severity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06987354326803868
expected_compound_pace_s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expected_degradation_rate_s_per_lap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cliff_onset_passed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laps_past_cliff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
push_residual,0.02313607489134069,0.02005370507912929,0.025873410320128635,0.01771161577746387,0.017630886923260817,0.015505132360886008,0.009652895868760628,0.01800148772625837
cumulative_push_load_surface,0.02313607489134069,0.02005370507912929,0.025873410320128635,0.01771161577746387,0.017630886923260817,0.015505132360886008,0.009652895868760628,0.01800148772625837
cumulative_push_load_bulk,0.02313607489134069,0.02005370507912929,0.025873410320128635,0.01771161577746387,0.017630886923260817,0.015505132360886008,0.009652895868760628,0.01800148772625837
surface_bulk_ratio,0.09969909729187562,0.09461235216819974,0.08470983774302003,0.0786699989133978,0.12777910590485297,0.11977309562398704,0.12648794638391517,0.1105380609967766
dirty_air_share_lap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dirty_air_thermal_load_surface,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dirty_air_thermal_load_bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air_state_dominant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_lap_within_1s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_lap_within_2s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_lap_in_train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_lap_behind_within_1s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time_within_1s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gap_ahead_min_s,0.09695753928452022,0.0,0.0002192661891536325,0.0,0.0002390628735357399,0.0,0.0,0.00034713612695264073
gap_ahead_median_s,0.09695753928452022,0.0,0.0002192661891536325,0.0,0.0002390628735357399,0.0,0.0,0.00034713612695264073
ahead_identity_stability,0.38548980274155803,0.31011826544021026,0.3004677678701944,0.3239704444202977,0.2893258426966292,0.28687196110210694,0.2939881964589377,0.2726010414083809
n_distinct_cars_ahead_3s,0.09695753928452022,0.0,0.0002192661891536325,0.0,0.0002390628735357399,0.0,0.0,0.00034713612695264073
quali_push_laps_n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quali_constructor_pace_mean_s,0.07990638582413909,0.0202251042678398,0.004019880134483263,0.016299032924046507,0.008187903418599091,0.00750945434900054,0.0072521756526958085,0.008331267046863378
quali_constructor_pace_se_mean_s,0.07990638582413909,0.0202251042678398,0.004019880134483263,0.016299032924046507,0.008187903418599091,0.00750945434900054,0.0072521756526958085,0.008331267046863378
quali_pace_delta_best_s,0.07990638582413909,0.0202251042678398,0.004019880134483263,0.016299032924046507,0.008187903418599091,0.00750945434900054,0.0072521756526958085,0.008331267046863378
quali_ratio_to_segment_best_min,0.07990638582413909,0.0202251042678398,0.004019880134483263,0.016299032924046507,0.008187903418599091,0.00750945434900054,0.0072521756526958085,0.008331267046863378
quali_skill_session_avg_s,0.07990638582413909,0.0202251042678398,0.004019880134483263,0.016299032924046507,0.008187903418599091,0.00750945434900054,0.0072521756526958085,0.008331267046863378
quali_segments_contested_n,0.07990638582413909,0.0202251042678398,0.004019880134483263,0.016299032924046507,0.008187903418599091,0.00750945434900054,0.0072521756526958085,0.008331267046863378
