race_year,race_id,max_lap_all,max_lap_valid,gap
2018,2018_1,58,58,0
2018,2018_10,52,52,0
2018,2018_11,67,67,0
2018,2018_12,70,70,0
2018,2018_13,44,44,0
2018,2018_14,53,53,0
2018,2018_15,61,61,0
2018,2018_16,53,53,0
2018,2018_17,53,53,0
2018,2018_18,56,56,0
2018,2018_19,71,71,0
2018,2018_2,57,57,0
2018,2018_20,71,71,0
2018,2018_21,55,55,0
2018,2018_3,56,56,0
2018,2018_4,51,51,0
2018,2018_5,66,66,0
2018,2018_6,78,78,0
2018,2018_7,70,70,0
2018,2018_8,53,53,0
2018,2018_9,71,71,0
2019,2019_1,58,58,0
2019,2019_10,52,52,0
2019,2019_11,65,64,1
2019,2019_12,70,70,0
2019,2019_13,44,44,0
2019,2019_14,53,53,0
2019,2019_15,61,61,0
2019,2019_16,53,53,0
2019,2019_17,53,53,0
2019,2019_18,71,71,0
2019,2019_19,56,56,0
2019,2019_2,57,54,3
2019,2019_20,71,71,0
2019,2019_21,55,55,0
2019,2019_3,56,56,0
2019,2019_4,51,51,0
2019,2019_5,66,66,0
2019,2019_6,78,78,0
2019,2019_7,70,70,0
2019,2019_8,53,53,0
2019,2019_9,71,71,0
2020,2020_1,68,67,1
2020,2020_10,53,53,0
2020,2020_11,60,60,0
2020,2020_12,66,66,0
2020,2020_13,63,63,0
2020,2020_14,58,58,0
2020,2020_15,57,54,3
2020,2020_16,87,87,0
2020,2020_17,55,55,0
2020,2020_2,71,71,0
2020,2020_3,70,70,0
2020,2020_4,52,52,0
2020,2020_5,52,52,0
2020,2020_6,66,66,0
2020,2020_7,44,44,0
2020,2020_8,53,53,0
2020,2020_9,59,59,0
2021,2021_1,57,56,1
2021,2021_10,52,52,0
2021,2021_11,70,70,0
2021,2021_12,3,,
2021,2021_13,72,72,0
2021,2021_14,53,53,0
2021,2021_15,53,53,0
2021,2021_16,58,58,0
2021,2021_17,56,56,0
2021,2021_18,71,71,0
2021,2021_19,71,71,0
2021,2021_2,63,63,0
2021,2021_20,57,57,0
2021,2021_21,50,50,0
2021,2021_22,58,58,0
2021,2021_3,66,66,0
2021,2021_4,66,66,0
2021,2021_5,78,78,0
2021,2021_6,51,51,0
2021,2021_7,53,53,0
2021,2021_8,71,71,0
2021,2021_9,71,71,0
2022,2022_1,57,57,0
2022,2022_10,52,52,0
2022,2022_11,71,71,0
2022,2022_12,53,53,0
2022,2022_13,70,70,0
2022,2022_14,44,44,0
2022,2022_15,72,72,0
2022,2022_16,53,47,6
2022,2022_17,59,59,0
2022,2022_18,29,28,1
2022,2022_19,56,56,0
2022,2022_2,50,50,0
2022,2022_20,71,71,0
2022,2022_21,71,71,0
2022,2022_22,58,58,0
2022,2022_3,58,58,0
2022,2022_4,63,63,0
2022,2022_5,57,57,0
2022,2022_6,66,66,0
2022,2022_7,64,64,0
2022,2022_8,51,51,0
2022,2022_9,70,70,0
2023,2023_1,57,57,0
2023,2023_10,52,52,0
2023,2023_11,70,70,0
2023,2023_12,44,44,0
2023,2023_13,72,72,0
2023,2023_14,52,51,1
2023,2023_15,62,62,0
2023,2023_16,53,53,0
2023,2023_17,57,57,0
2023,2023_18,56,56,0
2023,2023_19,71,71,0
2023,2023_2,50,50,0
2023,2023_20,71,71,0
2023,2023_21,50,50,0
2023,2023_22,58,58,0
2023,2023_3,58,53,5
2023,2023_4,51,51,0
2023,2023_5,57,57,0
2023,2023_6,78,78,0
2023,2023_7,66,66,0
2023,2023_8,70,70,0
2023,2023_9,71,71,0
2024,2024_1,57,57,0
2024,2024_10,66,66,0
2024,2024_11,71,71,0
2024,2024_12,52,52,0
2024,2024_13,70,70,0
2024,2024_14,44,44,0
2024,2024_15,72,72,0
2024,2024_16,53,53,0
2024,2024_17,51,50,1
2024,2024_18,62,62,0
2024,2024_19,56,56,0
2024,2024_2,50,50,0
2024,2024_20,71,71,0
2024,2024_21,69,69,0
2024,2024_22,50,50,0
2024,2024_23,57,57,0
2024,2024_24,58,58,0
2024,2024_3,58,57,1
2024,2024_4,53,53,0
2024,2024_5,56,56,0
2024,2024_6,57,57,0
2024,2024_7,63,63,0
2024,2024_8,78,78,0
2024,2024_9,70,70,0
2025,2025_1,57,57,0
2025,2025_10,70,66,4
2025,2025_11,70,70,0
2025,2025_12,52,52,0
2025,2025_13,44,44,0
2025,2025_14,70,70,0
2025,2025_15,72,72,0
2025,2025_16,53,53,0
2025,2025_17,51,51,0
2025,2025_18,62,62,0
2025,2025_19,56,56,0
2025,2025_2,56,56,0
2025,2025_20,71,71,0
2025,2025_21,71,71,0
2025,2025_22,50,50,0
2025,2025_23,57,57,0
2025,2025_24,58,58,0
2025,2025_3,53,53,0
2025,2025_4,57,57,0
2025,2025_5,50,50,0
2025,2025_6,57,57,0
2025,2025_7,63,63,0
2025,2025_8,78,78,0
2025,2025_9,66,66,0
