model,alias,func,partition,order,frame,lead,following,whole_partition,default_frame_range_to_current
dim_corners,,w,res.race_id,ORDER BY g.corner_distance_m NULLS LAST,,False,False,False,True
dim_corners,candidate_rank,ROW_NUMBER(),r.race_id,"ORDER BY CASE WHEN g.race_id = r.race_id THEN 0 ELSE 1 END ASC NULLS LAST, ABS(g.race_year - r.race_year) ASC NULLS LAST, g.race_year DESC",,False,False,False,True
dim_corners,prev_apex_m,LAG(g.corner_distance_m),,,named window w,False,False,False,False
dim_corners,next_apex_m,LEAD(g.corner_distance_m),,,named window w,True,False,False,False
fct_cliff_prediction_features,,w,stint_id,ORDER BY lap_in_stint NULLS LAST,,False,False,False,True
fct_cliff_prediction_features,n_total,SUM(n_total_season),compound,ORDER BY race_year NULLS LAST,ROWS BETWEEN UNBOUNDED PRECEDING AND 1 PRECEDING,False,False,False,False
fct_cliff_prediction_features,n_reaching,SUM(n_reaching_season),"compound,lap_in_stint",ORDER BY race_year NULLS LAST,ROWS BETWEEN UNBOUNDED PRECEDING AND 1 PRECEDING,False,False,False,False
fct_cliff_prediction_features,next_lap_degradation_jump_s,"LEAD(driver_skill_residual_s, 1)",,,named window w,True,False,False,False
fct_cliff_prediction_features,next_lap_degradation_jump_detrended_s,"LEAD(driver_skill_residual_s, 1)",,,named window w,True,False,False,False
fct_cliff_prediction_features,next_3_lap_cumulative_jump_s,"LEAD(lap_in_stint, 3)",,,named window w,True,False,False,False
fct_cliff_prediction_features,next_5_lap_cumulative_jump_s,"LEAD(lap_in_stint, 5)",,,named window w,True,False,False,False
fct_cliff_prediction_features,next_lap_degradation_jump_s,"LEAD(driver_skill_residual_s, 1)",,,named window w,True,False,False,False
fct_cliff_prediction_features,next_lap_degradation_jump_detrended_s,"LEAD(driver_skill_residual_s, 1)",,,named window w,True,False,False,False
fct_cliff_prediction_features,next_3_lap_cumulative_jump_s,"LEAD(driver_skill_residual_s, 3)",,,named window w,True,False,False,False
fct_cliff_prediction_features,next_5_lap_cumulative_jump_s,"LEAD(driver_skill_residual_s, 5)",,,named window w,True,False,False,False
fct_cliff_prediction_features,next_3_lap_cumulative_jump_s,"LEAD(driver_skill_residual_s, 1)",,,named window w,True,False,False,False
fct_cliff_prediction_features,next_3_lap_cumulative_jump_s,"LEAD(driver_skill_residual_s, 2)",,,named window w,True,False,False,False
fct_cliff_prediction_features,next_5_lap_cumulative_jump_s,"LEAD(driver_skill_residual_s, 4)",,,named window w,True,False,False,False
fct_cliff_prediction_features,next_5_lap_cumulative_jump_s,"LEAD(driver_skill_residual_s, 3)",,,named window w,True,False,False,False
fct_cliff_prediction_features,next_5_lap_cumulative_jump_s,"LEAD(driver_skill_residual_s, 1)",,,named window w,True,False,False,False
fct_cliff_prediction_features,next_5_lap_cumulative_jump_s,"LEAD(driver_skill_residual_s, 2)",,,named window w,True,False,False,False
int_circuit_x_constructor_interaction,,w,"constructor_id,circuit_id","ORDER BY race_year NULLS LAST, round_n NULLS LAST",ROWS BETWEEN UNBOUNDED PRECEDING AND 1 PRECEDING,False,False,False,False
int_circuit_x_constructor_interaction,season_avg_pace_s,AVG(constructor_structural_pace_s),"race_year,constructor_id",ORDER BY round_n NULLS LAST,ROWS BETWEEN UNBOUNDED PRECEDING AND 1 PRECEDING,False,False,False,False
int_circuit_x_constructor_interaction,n_obs,COUNT(pace_circuit_deviation_s),,,named window w,False,False,False,False
int_circuit_x_constructor_interaction,observed_mean_s,AVG(pace_circuit_deviation_s),,,named window w,False,False,False,False
int_circuit_x_constructor_interaction,observed_std_s,STDDEV_POP(pace_circuit_deviation_s),,,named window w,False,False,False,False
int_corner_skill_residuals,field_corner_sample_n,COUNT(braking_point_m),"race_year,race_id,corner_name",ORDER BY lap_number NULLS LAST,RANGE BETWEEN 5 PRECEDING AND 1 PRECEDING,False,False,False,False
