model,line,fn,kind,in_ml_lineage,first_arg,fallback
int_circuit_x_constructor_interaction,73,COALESCE,column_or_expr_fallback,True,cm.circuit_id,rm.circuit_key
int_circuit_x_constructor_interaction,135,NULLIF,nullif_guard,True,n_obs + 3.0,0
int_circuit_x_constructor_interaction,154,COALESCE,numeric_zero,True,shrunk_interaction_s,0.0
int_circuit_x_constructor_interaction,155,COALESCE,numeric_zero,True,n_obs,0
int_circuit_x_constructor_interaction,156,COALESCE,numeric_zero,True,observed_std_s,0.0
int_compound_cliff_predicted,110,COALESCE,numeric_sentinel:30.0,True,track_temp_c,30.0
int_compound_cliff_predicted,111,COALESCE,numeric_sentinel:20.0,True,compound_optimal_temp_low,20.0
int_compound_cliff_predicted,120,COALESCE,numeric_sentinel:999.0,True,compound_cliff_onset_laps,999.0
int_compound_cliff_predicted,124,COALESCE,numeric_sentinel:999.0,True,compound_cliff_onset_laps,999.0
int_compound_cliff_predicted,146,COALESCE,numeric_sentinel:999.0,True,compound_cliff_onset_laps,999.0
int_compound_cliff_predicted,147,COALESCE,numeric_zero,True,compound_cliff_severity,0.0
int_compound_cliff_predicted,152,COALESCE,numeric_zero,True,compound_wear_gradient,0.0
int_compound_cliff_predicted,156,COALESCE,numeric_zero,True,compound_wear_gradient,0.0
int_compound_cliff_predicted,194,COALESCE,numeric_zero,True,compound_grip_peak,0.0
int_compound_cliff_predicted,196,COALESCE,numeric_zero,True,compound_wear_gradient,0.0
int_compound_cliff_predicted,210,COALESCE,numeric_zero,True,compound_wear_gradient,0.0
int_constructor_deg_sensitivity,142,COALESCE,bool:FALSE,False,rainfall_flag,FALSE
int_constructor_deg_sensitivity,145,COALESCE,bool:FALSE,False,cliff_onset_passed,FALSE
int_constructor_deg_sensitivity,170,NULLIF,nullif_guard,False,SUM(dx * dx),0
int_constructor_deg_sensitivity,193,NULLIF,nullif_guard,False,sxx,0
int_constructor_deg_sensitivity,229,COALESCE,numeric_zero,False,(SUM(w * dev * dev) - (COUNT(*) - 1)) / NULLIF(SUM(w) - SUM(w * w) / S,0
int_constructor_deg_sensitivity,231,NULLIF,nullif_guard,False,SUM(w) - SUM(w * w) / SUM(w),0
int_constructor_deg_sensitivity,261,COALESCE,bool:FALSE,False,lr.rainfall_flag,FALSE
int_constructor_deg_sensitivity,325,NULLIF,nullif_guard,False,det,0
int_constructor_deg_sensitivity,363,COALESCE,numeric_zero,False,(SUM(hw * hinge_dev * hinge_dev) - (COUNT(*) - 1)) / NULLIF(SUM(hw) - ,0
int_constructor_deg_sensitivity,365,NULLIF,nullif_guard,False,SUM(hw) - SUM(hw * hw) / SUM(hw),0
int_constructor_deg_sensitivity,433,NULLIF,nullif_guard,False,t.htau2 + c.b_hinge_se * c.b_hinge_se,0
int_constructor_deg_sensitivity,436,COALESCE,numeric_zero,False,t.htau2,0
int_constructor_deg_sensitivity,456,NULLIF,nullif_guard,False,t.tau2 + c.slope_se * c.slope_se,0
int_constructor_deg_sensitivity,464,COALESCE,numeric_zero,False,t.tau2,0
int_constructor_deg_sensitivity,465,COALESCE,numeric_zero,False,t.tau2,0
int_constructor_deg_sensitivity,470,NULLIF,nullif_guard,False,t.tau2 + c.slope_se * c.slope_se,0
int_constructor_deg_sensitivity,473,COALESCE,numeric_zero,False,t.tau2,0
int_constructor_deg_sensitivity,481,COALESCE,numeric_zero,False,cs.hinge_dev_shrunk,0.0
int_constructor_deg_sensitivity,482,NULLIF,nullif_guard,False,cs.severity_used,0
int_constructor_deg_sensitivity,487,NULLIF,nullif_guard,False,cs.severity_used,0
int_constructor_deg_sensitivity,494,COALESCE,numeric_zero,False,cs.n_post,0
int_constructor_deg_sensitivity,495,COALESCE,numeric_zero,False,cs.n_deep,0
int_constructor_deg_sensitivity,496,COALESCE,numeric_zero,False,cs.n_stints_cliff,0
int_constructor_deg_sensitivity,497,COALESCE,bool:FALSE,False,cs.cliff_qualifies,FALSE
int_constructor_structural_pace,92,COALESCE,column_or_expr_fallback,True,fp.field_pace_smoothed_s,f.lap_time_s
