race_year                                  2018        2019        2020        2021        2022        2023        2024        2025
n                                    14955.0000  17503.0000  13682.0000  18406.0000  16732.0000  18510.0000  19994.0000  20165.0000
lap_number                               0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
lap_in_stint                             0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
age_in_stint                             0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
fuel_mass_kg                             0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
compound                                 0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
compound_grip_peak                       0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0699
compound_wear_gradient                   0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0699
compound_optimal_temp_low                0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0699
compound_optimal_temp_high               0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0699
compound_cliff_onset_laps                0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0699
compound_cliff_severity                  0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0699
expected_compound_pace_s                 0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
expected_degradation_rate_s_per_lap      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
cliff_onset_passed                       0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
laps_past_cliff                          0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
push_residual                            0.0231      0.0201      0.0259      0.0177      0.0176      0.0155      0.0097      0.0180
cumulative_push_load_surface             0.0231      0.0201      0.0259      0.0177      0.0176      0.0155      0.0097      0.0180
cumulative_push_load_bulk                0.0231      0.0201      0.0259      0.0177      0.0176      0.0155      0.0097      0.0180
surface_bulk_ratio                       0.0997      0.0946      0.0847      0.0787      0.1278      0.1198      0.1265      0.1105
dirty_air_share_lap                      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
dirty_air_thermal_load_surface           0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
dirty_air_thermal_load_bulk              0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
air_state_dominant                       0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
share_lap_within_1s                      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
share_lap_within_2s                      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
share_lap_in_train                       0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
share_lap_behind_within_1s               0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
time_within_1s                           0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
gap_ahead_min_s                          0.0970      0.0000      0.0002      0.0000      0.0002      0.0000      0.0000      0.0003
gap_ahead_median_s                       0.0970      0.0000      0.0002      0.0000      0.0002      0.0000      0.0000      0.0003
ahead_identity_stability                 0.3855      0.3101      0.3005      0.3240      0.2893      0.2869      0.2940      0.2726
n_distinct_cars_ahead_3s                 0.0970      0.0000      0.0002      0.0000      0.0002      0.0000      0.0000      0.0003
quali_push_laps_n                        0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
quali_constructor_pace_mean_s            0.0799      0.0202      0.0040      0.0163      0.0082      0.0075      0.0073      0.0083
quali_constructor_pace_se_mean_s         0.0799      0.0202      0.0040      0.0163      0.0082      0.0075      0.0073      0.0083
quali_pace_delta_best_s                  0.0799      0.0202      0.0040      0.0163      0.0082      0.0075      0.0073      0.0083
quali_ratio_to_segment_best_min          0.0799      0.0202      0.0040      0.0163      0.0082      0.0075      0.0073      0.0083
quali_skill_session_avg_s                0.0799      0.0202      0.0040      0.0163      0.0082      0.0075      0.0073      0.0083
quali_segments_contested_n               0.0799      0.0202      0.0040      0.0163      0.0082      0.0075      0.0073      0.0083

ZERO SHARE
race_year                              2018    2019    2020    2021    2022    2023    2024    2025
lap_number                           0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
lap_in_stint                         0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
age_in_stint                         0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
fuel_mass_kg                         0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
compound_grip_peak                   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
compound_wear_gradient               0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
compound_optimal_temp_low            0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
compound_optimal_temp_high           0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
compound_cliff_onset_laps            0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
compound_cliff_severity              0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
expected_compound_pace_s             0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
expected_degradation_rate_s_per_lap  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0699
cliff_onset_passed                   0.5946  0.7324  0.7795  0.7278  0.7319  0.6887  0.7209  0.6957
laps_past_cliff                      0.5946  0.7324  0.7795  0.7278  0.7319  0.6887  0.7209  0.6957
push_residual                        0.0002  0.0004  0.0007  0.0002  0.0004  0.0008  0.0006  0.0006
cumulative_push_load_surface         0.1138  0.1134  0.0857  0.0995  0.1681  0.1609  0.1753  0.1453
cumulative_push_load_bulk            0.0766  0.0746  0.0588  0.0610  0.1101  0.1043  0.1168  0.0925
