panel rows 145,543; fabricated-base rows 10,407
 season           arm     n   theta   ci_lo  ci_hi  joint_lag  joint_lead
   2018        as_06b 14881  0.3956  0.2165 0.5747     0.3651      0.1317
   2018 measured_base 14319  0.4374  0.2816 0.5931     0.3911      0.1948
   2019        as_06b 17999  0.1508  0.0036 0.2980     0.1335      0.0994
   2019 measured_base 17107  0.3446  0.2583 0.4310     0.3225      0.1274
   2020        as_06b 14134  0.1699  0.0518 0.2880     0.1617      0.0399
   2020 measured_base 12939  0.3065  0.1928 0.4202     0.2743      0.1576
   2021        as_06b 19243  0.0828 -0.0300 0.1955     0.0677      0.0725
   2021 measured_base 17646  0.3052  0.2313 0.3792     0.2768      0.1376
   2022        as_06b 16897  0.0108 -0.1298 0.1514    -0.0059      0.1131
   2022 measured_base 15587  0.2211  0.1330 0.3093     0.2052      0.1133
   2023        as_06b 19296  0.0446 -0.0496 0.1388     0.0389      0.0396
   2023 measured_base 18115  0.1845  0.0974 0.2715     0.1723      0.0866
   2024        as_06b 21543 -0.0361 -0.1752 0.1031    -0.0436      0.0419
   2024 measured_base 19663  0.1923  0.1084 0.2762     0.1741      0.1068
   2025        as_06b 21550  0.0619 -0.0846 0.2084     0.0190      0.1870
   2025 measured_base 19760  0.2451  0.1298 0.3605     0.2065      0.1598
as_06b         trend 2018-24: theta(2021)=+0.1150  dtheta/dseason=-0.0667 [-0.0963, -0.0371]  n=123,805
measured_base  trend 2018-24: theta(2021)=+0.2883  dtheta/dseason=-0.0509 [-0.0695, -0.0323]  n=115,242
