driver_id,season_n,predicted_residual_s,actual_residual_s,nr_n,nr_n1,constructor_n,constructor_n1,switched,error_s
GAS,2020,-1.2138876722822374,-1.2055834769698635,16,18,AlphaTauri,AlphaTauri,False,-0.008304195312373919
RIC,2022,-0.6699784454217746,-0.8423806121763769,21,7,McLaren,AlphaTauri,True,0.1724021667546023
GIO,2019,-0.8142749078953191,-0.9656915582060543,21,16,Alfa Romeo Racing,Alfa Romeo Racing,False,0.15141665031073526
RIC,2019,-0.9673987897025254,-1.3096129706956847,20,16,Renault,Renault,False,0.34221418099315937
VET,2019,-0.9920062445928062,-0.47342174542232807,21,15,Ferrari,Ferrari,False,-0.5185844991704781
RUS,2020,-1.0508761163670317,-1.0541612254794963,16,20,Williams,Williams,False,0.0032851091124646015
HAM,2021,-1.1656532122408862,-0.8554682468618366,20,20,Mercedes,Mercedes,False,-0.3101849653790496
ALO,2023,-1.2088664547810684,-1.3982042490516329,21,23,Aston Martin,Aston Martin,False,0.18933779427056452
GRO,2019,-0.7207673660774861,-0.9094818380006946,20,12,Haas F1 Team,Haas F1 Team,False,0.18871447192320845
NOR,2019,-0.8228676682990423,-0.802523183406921,20,14,McLaren,McLaren,False,-0.020344484892121373
NOR,2022,-1.2566229460190426,-1.2976788946506315,21,20,McLaren,McLaren,False,0.0410559486315889
ALB,2019,-0.9097758416135794,-0.4092852918985427,20,15,Toro Rosso,Red Bull Racing,True,-0.5004905497150367
SAI,2019,-1.0151081465168965,-1.0849615042877918,20,14,McLaren,McLaren,False,0.0698533577708953
PER,2020,-1.321124503325044,-0.5847432382823317,13,19,Racing Point,Red Bull Racing,True,-0.7363812650427124
SAI,2022,-0.8156857686779369,-0.7785930862883056,18,19,Ferrari,Ferrari,False,-0.03709268238963126
HAM,2018,-0.9714208076798698,-0.9969294774876889,20,21,Mercedes,Mercedes,False,0.025508669807819073
RAI,2019,-1.3022276084920856,-0.884744651394617,21,16,Alfa Romeo Racing,Alfa Romeo Racing,False,-0.41748295709746863
LAT,2020,-1.0770284107450527,-1.101910581098136,16,20,Williams,Williams,False,0.024882170353083266
ALO,2021,-1.0578414282937205,-0.8883013228488673,20,21,Alpine,Alpine,False,-0.1695401054448532
HAM,2023,-1.129437422489537,-0.7684018018836537,21,23,Mercedes,Mercedes,False,-0.36103562060588323
ALB,2022,-1.3907468497235393,-1.2366271837654397,19,21,Williams,Williams,False,-0.15411966595809967
TSU,2022,-0.8020090556194821,-1.1086394342009713,21,20,AlphaTauri,AlphaTauri,False,0.3066303785814892
LAW,2023,-0.9278728736459858,-0.863971066246408,3,5,AlphaTauri,RB,True,-0.06390180739957785
VER,2018,-1.0070090773008056,-1.1879891844295778,17,20,Red Bull Racing,Red Bull Racing,False,0.18098010712877222
ZHO,2023,-0.9478418710443973,-1.213403195670061,21,24,Alfa Romeo,Kick Sauber,True,0.26556132462566373
GAS,2019,-0.6153039988227682,-1.2138876722822374,21,16,Red Bull Racing,AlphaTauri,True,0.5985836734594692
GIO,2020,-0.9656915582060543,-1.0645384323252438,16,20,Alfa Romeo Racing,Alfa Romeo Racing,False,0.09884687411918947
BOT,2021,-0.428909784778904,-1.0534728963852757,20,20,Mercedes,Alfa Romeo,True,0.6245631116063717
GAS,2022,-0.9116351152850305,-1.2416337847714833,21,21,AlphaTauri,Alpine,True,0.32999866948645284
STR,2018,-1.1853808626582931,-0.8432606856927599,17,20,Williams,Racing Point,True,-0.3421201769655332
OCO,2023,-0.5745749156021895,-0.8058990339649047,21,19,Alpine,Alpine,False,0.23132411836271516
LEC,2018,-1.1204491654784938,-0.7840694060668082,17,21,Sauber,Ferrari,True,-0.33637975941168563
NOR,2020,-0.802523183406921,-1.31198627868629,14,20,McLaren,McLaren,False,0.509463095279369
VET,2020,-0.47342174542232807,-1.0528316110557723,15,20,Ferrari,Aston Martin,True,0.5794098656334442
RUS,2022,-0.7931055657228275,-0.7390769940326621,20,21,Mercedes,Mercedes,False,-0.054028571690165395
RUS,2019,-1.750590497099915,-1.0508761163670317,21,16,Williams,Williams,False,-0.6997143807328834
RIC,2020,-1.3096129706956847,-0.6377755424861955,16,20,Renault,McLaren,True,-0.6718374282094892
LEC,2023,-1.1635746009310752,-0.7823784871858883,19,24,Ferrari,Ferrari,False,-0.3811961137451869
STR,2023,-0.5902766853957883,-0.6900007195209775,21,23,Aston Martin,Aston Martin,False,0.09972403412518926
VER,2023,-1.2169515406804587,-1.125801580590385,21,22,Red Bull Racing,Red Bull Racing,False,-0.09114996009007381
OCO,2020,-0.5154406393735679,-0.9765157720174049,16,20,Renault,Alpine,True,0.46107513264383704
VER,2020,-1.1609868245787287,-1.1067595109621997,15,19,Red Bull Racing,Red Bull Racing,False,-0.054227313616528994
VET,2018,-1.1277884257413022,-0.9920062445928062,19,21,Ferrari,Ferrari,False,-0.13578218114849605
TSU,2021,-0.8152839841058462,-0.8020090556194821,18,21,AlphaTauri,AlphaTauri,False,-0.013274928486364135
RIC,2023,-0.8423806121763769,-1.210920833413123,7,17,AlphaTauri,RB,True,0.368540221236746
GRO,2018,-0.8353241825733925,-0.7207673660774861,17,20,Haas F1 Team,Haas F1 Team,False,-0.11455681649590632
LEC,2020,-1.2325483689467243,-0.9293672966059573,15,19,Ferrari,Ferrari,False,-0.30318107234076697
ALO,2022,-0.8883013228488673,-1.2088664547810684,21,21,Alpine,Aston Martin,True,0.32056513193220104
