circuit_key,circuit_name,lap_length_km,corner_count,avg_lateral_g,fuel_consumption_rate_kg_per_lap,track_energy_index,abrasiveness_index,weight_penalty_factor,era_start_year,calibration_source,n_calibration_laps,prior_weight_penalty_factor,calibration_delta_pct,calibration_flag,measured_weight_penalty_factor,fit_date,data_window,fit_method,git_sha,fit_timestamp,pit_lane_loss_s,pit_loss_imputed_flag
70th_anniversary_grand_prix,Silverstone Circuit,5.891,18,2.7,2.1,131.2,3,0.03,1950,prior_insufficient_data,0,0.03,0.0,INSUFFICIENT_DATA,,2026-05-21,2018_to_2024,first_stint_regression_v1,unknown,2026-05-20T21:25:12Z,21.0,FALSE
abu_dhabi_grand_prix,Yas Marina Circuit,5.281,16,2.1,2.0,70.6,2,0.024,2009,first_stint_regression,567,0.024,1138.4,REVIEW_REQUIRED,0.29722,2026-05-21,2018_to_2024,first_stint_regression_v1,unknown,2026-05-20T21:25:12Z,22.0,FALSE
argentine_grand_prix,Autodromo Juan Manuel Fangio,4.31,17,2.1,1.75,79.0,2,0.024,1995,prior_insufficient_data,0,0.024,0.0,INSUFFICIENT_DATA,,2026-05-21,2018_to_2024,first_stint_regression_v1,unknown,2026-05-20T21:25:12Z,21.0,TRUE
australian_grand_prix,Albert Park Circuit,5.278,14,2.0,2.05,56.0,2,0.022,1996,prior_insufficient_data,0,0.022,0.0,INSUFFICIENT_DATA,,2026-05-21,2018_to_2024,first_stint_regression_v1,unknown,2026-05-20T21:25:12Z,21.0,FALSE
austrian_grand_prix,Red Bull Ring,4.318,10,2.2,1.75,48.4,3,0.022,1969,first_stint_regression,184,0.022,42.8,REVIEW_REQUIRED,0.01258,2026-05-21,2018_to_2024,first_stint_regression_v1,unknown,2026-05-20T21:25:12Z,20.0,FALSE
azerbaijan_grand_prix,Baku City Circuit,6.003,20,2.0,2.1,82.5,2,0.026,2016,first_stint_regression,95,0.026,214.9,REVIEW_REQUIRED,0.08189,2026-05-21,2018_to_2024,first_stint_regression_v1,unknown,2026-05-20T21:25:12Z,20.0,FALSE
bahrain_grand_prix,Bahrain International Circuit,5.412,15,2.1,2.15,66.2,3,0.023,2004,prior_insufficient_data,0,0.023,0.0,INSUFFICIENT_DATA,,2026-05-21,2018_to_2024,first_stint_regression_v1,unknown,2026-05-20T21:25:12Z,20.5,FALSE
belgian_grand_prix,Circuit de Spa-Francorchamps,7.004,19,2.6,2.4,121.5,2,0.03,1925,first_stint_regression,342,0.03,83.3,REVIEW_REQUIRED,0.005,2026-05-21,2018_to_2024,first_stint_regression_v1,unknown,2026-05-20T21:25:12Z,20.0,FALSE
brazilian_grand_prix,Autodromo Jose Carlos Pace,4.309,15,2.3,1.75,79.4,3,0.025,1973,first_stint_regression,155,0.025,123.5,REVIEW_REQUIRED,0.05588,2026-05-21,2018_to_2024,first_stint_regression_v1,unknown,2026-05-20T21:25:12Z,21.5,FALSE
british_grand_prix,Silverstone Circuit,5.891,18,2.7,2.1,131.2,3,0.03,1950,first_stint_regression,380,0.03,32.1,REVIEW_REQUIRED,0.02038,2026-05-21,2018_to_2024,first_stint_regression_v1,unknown,2026-05-20T21:25:12Z,21.0,FALSE
