circuit_key,compound_code,season,compound_grip_peak,compound_wear_gradient,compound_optimal_temp_low,compound_optimal_temp_high,compound_cliff_onset_laps,compound_cliff_severity,fit_date,data_window,fit_method,git_sha,fit_timestamp,fit_source,n_stints,notes
2018_1,SOFT,2018,1.03,0.07,82,108,22.0,1.32,2026-07-30,2018_to_2024,km_survival_v1,ac2d82f,2026-07-30T06:39:17Z,cox_km_survival,12,fitted from 12 stints via cox_km_survival
2018_2,MEDIUM,2018,1.0,0.1616,78,105,11.0,1.0,2026-07-30,2018_to_2024,km_survival_v1,ac2d82f,2026-07-30T06:39:17Z,cox_km_survival,10,fitted from 10 stints via cox_km_survival
2018_2,SOFT,2018,1.03,0.0444,82,108,36.0,1.0,2026-07-30,2018_to_2024,km_survival_v1,ac2d82f,2026-07-30T06:39:17Z,cox_km_survival,16,fitted from 16 stints via cox_km_survival
2018_3,MEDIUM,2018,1.0,0.061,78,105,33.0,1.5,2026-07-30,2018_to_2024,km_survival_v1,ac2d82f,2026-07-30T06:39:17Z,cox_km_survival,12,fitted from 12 stints via cox_km_survival
2018_3,SOFT,2018,1.03,0.1838,82,108,43.2,0.83,2026-07-30,2018_to_2024,km_survival_v1,ac2d82f,2026-07-30T06:39:17Z,cox_km_survival,19,fitted from 19 stints via cox_km_survival
2018_4,SOFT,2018,1.03,0.07,82,108,22.0,0.64,2026-07-30,2018_to_2024,km_survival_v1,ac2d82f,2026-07-30T06:39:17Z,cox_km_survival,11,fitted from 11 stints via cox_km_survival
2018_5,MEDIUM,2018,1.0,0.04,78,105,31.0,0.44,2026-07-30,2018_to_2024,km_survival_v1,ac2d82f,2026-07-30T06:39:17Z,cox_km_survival,19,fitted from 19 stints via cox_km_survival
2018_5,SOFT,2018,1.03,0.0987,82,108,22.0,1.0,2026-07-30,2018_to_2024,km_survival_v1,ac2d82f,2026-07-30T06:39:17Z,cox_km_survival,15,fitted from 15 stints via cox_km_survival
2018_8,SOFT,2018,1.03,0.1008,82,108,33.0,0.83,2026-07-30,2018_to_2024,km_survival_v1,ac2d82f,2026-07-30T06:39:17Z,cox_km_survival,12,fitted from 12 stints via cox_km_survival
2018_9,SOFT,2018,1.03,0.0322,82,108,26.0,0.35,2026-07-30,2018_to_2024,km_survival_v1,ac2d82f,2026-07-30T06:39:17Z,cox_km_survival,18,fitted from 18 stints via cox_km_survival
