race_id,race_year,round_number,event_name,scheduled_laps,total_laps_final,max_current_lap,source,note
2018_1,2018,1,Australian Grand Prix,58,58,58,f1_livetiming_lapcount,
2018_2,2018,2,Bahrain Grand Prix,57,57,57,f1_livetiming_lapcount,
2018_3,2018,3,Chinese Grand Prix,56,56,56,f1_livetiming_lapcount,
2018_4,2018,4,Azerbaijan Grand Prix,51,51,51,f1_livetiming_lapcount,
2018_5,2018,5,Spanish Grand Prix,66,66,66,f1_livetiming_lapcount,
2018_6,2018,6,Monaco Grand Prix,78,78,78,f1_livetiming_lapcount,
2018_7,2018,7,Canadian Grand Prix,70,70,70,f1_livetiming_lapcount,
2018_8,2018,8,French Grand Prix,53,53,53,f1_livetiming_lapcount,
2018_9,2018,9,Austrian Grand Prix,71,71,71,f1_livetiming_lapcount,
2018_10,2018,10,British Grand Prix,52,52,52,f1_livetiming_lapcount,
2018_11,2018,11,German Grand Prix,67,67,67,f1_livetiming_lapcount,
2018_12,2018,12,Hungarian Grand Prix,70,70,70,f1_livetiming_lapcount,
2018_13,2018,13,Belgian Grand Prix,44,44,44,f1_livetiming_lapcount,
2018_14,2018,14,Italian Grand Prix,53,53,53,f1_livetiming_lapcount,
2018_15,2018,15,Singapore Grand Prix,61,61,61,f1_livetiming_lapcount,
2018_16,2018,16,Russian Grand Prix,53,53,53,f1_livetiming_lapcount,
2018_17,2018,17,Japanese Grand Prix,53,53,53,f1_livetiming_lapcount,
2018_18,2018,18,United States Grand Prix,56,56,56,f1_livetiming_lapcount,
2018_19,2018,19,Mexican Grand Prix,71,71,71,f1_livetiming_lapcount,
2018_20,2018,20,Brazilian Grand Prix,71,71,71,f1_livetiming_lapcount,
2018_21,2018,21,Abu Dhabi Grand Prix,55,55,55,f1_livetiming_lapcount,
2019_1,2019,1,Australian Grand Prix,58,58,58,f1_livetiming_lapcount,
2019_2,2019,2,Bahrain Grand Prix,57,57,57,f1_livetiming_lapcount,
2019_3,2019,3,Chinese Grand Prix,56,56,56,f1_livetiming_lapcount,
2019_4,2019,4,Azerbaijan Grand Prix,51,51,51,f1_livetiming_lapcount,
2019_5,2019,5,Spanish Grand Prix,66,66,66,f1_livetiming_lapcount,
2019_6,2019,6,Monaco Grand Prix,78,78,78,f1_livetiming_lapcount,
2019_7,2019,7,Canadian Grand Prix,70,70,70,f1_livetiming_lapcount,
2019_8,2019,8,French Grand Prix,53,53,53,f1_livetiming_lapcount,
2019_9,2019,9,Austrian Grand Prix,71,71,71,f1_livetiming_lapcount,
2019_10,2019,10,British Grand Prix,52,52,52,f1_livetiming_lapcount,
2019_11,2019,11,German Grand Prix,67,64,64,f1_livetiming_lapcount,race control changed the distance 67 -> 64; scheduled_laps keeps the pre-race value
2019_12,2019,12,Hungarian Grand Prix,70,70,70,f1_livetiming_lapcount,
2019_13,2019,13,Belgian Grand Prix,44,44,44,f1_livetiming_lapcount,
2019_14,2019,14,Italian Grand Prix,53,53,53,f1_livetiming_lapcount,
2019_15,2019,15,Singapore Grand Prix,61,61,61,f1_livetiming_lapcount,
2019_16,2019,16,Russian Grand Prix,53,53,53,f1_livetiming_lapcount,
2019_17,2019,17,Japanese Grand Prix,53,53,53,f1_livetiming_lapcount,
2019_18,2019,18,Mexican Grand Prix,71,71,71,f1_livetiming_lapcount,
2019_19,2019,19,United States Grand Prix,56,56,56,f1_livetiming_lapcount,
2019_20,2019,20,Brazilian Grand Prix,71,71,71,f1_livetiming_lapcount,
2019_21,2019,21,Abu Dhabi Grand Prix,55,55,55,f1_livetiming_lapcount,
2020_1,2020,1,Austrian Grand Prix,71,71,71,f1_livetiming_lapcount,
2020_2,2020,2,Styrian Grand Prix,71,71,71,f1_livetiming_lapcount,
2020_3,2020,3,Hungarian Grand Prix,70,70,70,f1_livetiming_lapcount,
2020_4,2020,4,British Grand Prix,52,52,52,f1_livetiming_lapcount,
2020_5,2020,5,70th Anniversary Grand Prix,52,52,52,f1_livetiming_lapcount,
2020_6,2020,6,Spanish Grand Prix,66,66,66,f1_livetiming_lapcount,
2020_7,2020,7,Belgian Grand Prix,44,44,44,f1_livetiming_lapcount,
2020_8,2020,8,Italian Grand Prix,53,53,53,f1_livetiming_lapcount,
2020_9,2020,9,Tuscan Grand Prix,59,59,59,f1_livetiming_lapcount,
2020_10,2020,10,Russian Grand Prix,53,53,53,f1_livetiming_lapcount,
2020_11,2020,11,Eifel Grand Prix,60,60,60,f1_livetiming_lapcount,
2020_12,2020,12,Portuguese Grand Prix,66,66,66,f1_livetiming_lapcount,
2020_13,2020,13,Emilia Romagna Grand Prix,63,63,63,f1_livetiming_lapcount,
2020_14,2020,14,Turkish Grand Prix,58,58,58,f1_livetiming_lapcount,
2020_15,2020,15,Bahrain Grand Prix,57,57,57,f1_livetiming_lapcount,
2020_16,2020,16,Sakhir Grand Prix,87,87,87,f1_livetiming_lapcount,
2020_17,2020,17,Abu Dhabi Grand Prix,55,55,55,f1_livetiming_lapcount,
2021_1,2021,1,Bahrain Grand Prix,57,56,56,f1_livetiming_lapcount,race control changed the distance 57 -> 56; scheduled_laps keeps the pre-race value
2021_2,2021,2,Emilia Romagna Grand Prix,63,63,63,f1_livetiming_lapcount,
2021_3,2021,3,Portuguese Grand Prix,66,66,66,f1_livetiming_lapcount,
2021_4,2021,4,Spanish Grand Prix,66,66,66,f1_livetiming_lapcount,
2021_5,2021,5,Monaco Grand Prix,78,78,78,f1_livetiming_lapcount,
2021_6,2021,6,Azerbaijan Grand Prix,51,51,51,f1_livetiming_lapcount,
2021_7,2021,7,French Grand Prix,53,53,53,f1_livetiming_lapcount,
2021_8,2021,8,Styrian Grand Prix,71,71,71,f1_livetiming_lapcount,
2021_9,2021,9,Austrian Grand Prix,71,71,71,f1_livetiming_lapcount,
2021_10,2021,10,British Grand Prix,52,52,52,f1_livetiming_lapcount,
2021_11,2021,11,Hungarian Grand Prix,70,70,70,f1_livetiming_lapcount,
2021_12,2021,12,Belgian Grand Prix,44,39,4,f1_livetiming_lapcount,race control changed the distance 44 -> 39; scheduled_laps keeps the pre-race value
2021_13,2021,13,Dutch Grand Prix,72,72,72,f1_livetiming_lapcount,
2021_14,2021,14,Italian Grand Prix,53,53,53,f1_livetiming_lapcount,
2021_15,2021,15,Russian Grand Prix,53,53,53,f1_livetiming_lapcount,
2021_16,2021,16,Turkish Grand Prix,58,58,58,f1_livetiming_lapcount,
2021_17,2021,17,United States Grand Prix,56,56,56,f1_livetiming_lapcount,
2021_18,2021,18,Mexico City Grand Prix,71,71,71,f1_livetiming_lapcount,
2021_19,2021,19,São Paulo Grand Prix,71,71,71,f1_livetiming_lapcount,
2021_20,2021,20,Qatar Grand Prix,57,57,57,f1_livetiming_lapcount,
2021_21,2021,21,Saudi Arabian Grand Prix,50,50,50,f1_livetiming_lapcount,
2021_22,2021,22,Abu Dhabi Grand Prix,58,58,58,f1_livetiming_lapcount,
2022_1,2022,1,Bahrain Grand Prix,57,57,57,f1_livetiming_lapcount,
2022_2,2022,2,Saudi Arabian Grand Prix,50,50,50,f1_livetiming_lapcount,
2022_3,2022,3,Australian Grand Prix,58,58,58,f1_livetiming_lapcount,
2022_4,2022,4,Emilia Romagna Grand Prix,63,63,63,f1_livetiming_lapcount,
2022_5,2022,5,Miami Grand Prix,57,57,57,f1_livetiming_lapcount,
2022_6,2022,6,Spanish Grand Prix,66,66,66,f1_livetiming_lapcount,
2022_7,2022,7,Monaco Grand Prix,78,77,65,f1_livetiming_lapcount,race control changed the distance 78 -> 77; scheduled_laps keeps the pre-race value
2022_8,2022,8,Azerbaijan Grand Prix,51,51,51,f1_livetiming_lapcount,
2022_9,2022,9,Canadian Grand Prix,70,70,70,f1_livetiming_lapcount,
2022_10,2022,10,British Grand Prix,52,52,52,f1_livetiming_lapcount,
2022_11,2022,11,Austrian Grand Prix,71,71,71,f1_livetiming_lapcount,
2022_12,2022,12,French Grand Prix,53,53,53,f1_livetiming_lapcount,
2022_13,2022,13,Hungarian Grand Prix,70,70,70,f1_livetiming_lapcount,
2022_14,2022,14,Belgian Grand Prix,44,44,44,f1_livetiming_lapcount,
2022_15,2022,15,Dutch Grand Prix,72,72,72,f1_livetiming_lapcount,
2022_16,2022,16,Italian Grand Prix,53,53,53,f1_livetiming_lapcount,
2022_17,2022,17,Singapore Grand Prix,61,61,60,f1_livetiming_lapcount,
2022_18,2022,18,Japanese Grand Prix,53,53,29,f1_livetiming_lapcount,
2022_19,2022,19,United States Grand Prix,56,56,56,f1_livetiming_lapcount,
2022_20,2022,20,Mexico City Grand Prix,71,71,71,f1_livetiming_lapcount,
2022_21,2022,21,São Paulo Grand Prix,71,71,71,f1_livetiming_lapcount,
2022_22,2022,22,Abu Dhabi Grand Prix,58,58,58,f1_livetiming_lapcount,
2023_1,2023,1,Bahrain Grand Prix,57,57,57,f1_livetiming_lapcount,
2023_2,2023,2,Saudi Arabian Grand Prix,50,50,50,f1_livetiming_lapcount,
2023_3,2023,3,Australian Grand Prix,58,58,58,f1_livetiming_lapcount,
2023_4,2023,4,Azerbaijan Grand Prix,51,51,51,f1_livetiming_lapcount,
2023_5,2023,5,Miami Grand Prix,57,57,57,f1_livetiming_lapcount,
2023_6,2023,6,Monaco Grand Prix,78,78,78,f1_livetiming_lapcount,
2023_7,2023,7,Spanish Grand Prix,66,66,66,f1_livetiming_lapcount,
2023_8,2023,8,Canadian Grand Prix,70,70,70,f1_livetiming_lapcount,
2023_9,2023,9,Austrian Grand Prix,71,71,71,f1_livetiming_lapcount,
2023_10,2023,10,British Grand Prix,52,52,52,f1_livetiming_lapcount,
2023_11,2023,11,Hungarian Grand Prix,70,70,70,f1_livetiming_lapcount,
2023_12,2023,12,Belgian Grand Prix,44,44,44,f1_livetiming_lapcount,
2023_13,2023,13,Dutch Grand Prix,72,72,72,f1_livetiming_lapcount,
2023_14,2023,14,Italian Grand Prix,53,51,51,f1_livetiming_lapcount,race control changed the distance 53 -> 51; scheduled_laps keeps the pre-race value
2023_15,2023,15,Singapore Grand Prix,62,62,62,f1_livetiming_lapcount,
2023_16,2023,16,Japanese Grand Prix,53,53,53,f1_livetiming_lapcount,
2023_17,2023,17,Qatar Grand Prix,57,57,57,f1_livetiming_lapcount,
2023_18,2023,18,United States Grand Prix,56,56,56,f1_livetiming_lapcount,
